states,districts,delta_confirmed,delta_deceased,delta_recovered,delta_tested,delta_vaccinated1,delta_vaccinated2,delta_population,delta21_14_confirmed,delta21_14_deceased,delta21_14_recovered,delta21_14_tested,delta21_14_vaccinated1,delta21_14_vaccinated2,delta21_14_population,delta7_confirmed,delta7_deceased,delta7_recovered,delta7_tested,delta7_vaccinated1,delta7_vaccinated2,delta7_population,meta_confirmed,meta_deceased,meta_recovered,meta_tested,meta_vaccinated1,meta_vaccinated2,meta_population,total_confirmed,total_deceased,total_recovered,total_tested,total_vaccinated1,total_vaccinated2,total_population
BR,Saran,0,0,2,0,4149,6693,0,0,0,0,0,0,0,0,5,0,2,0,41734,82407,5,0,0,0,1/31/2021,0,0,3943098,23278,255,23020,761473,1868014,736766,5
BR,Sheikhpura,0,0,0,0,345,788,0,0,0,0,0,0,0,0,0,0,0,0,4942,10739,0,0,0,0,1/31/2021,0,0,634927,7693,75,7618,142348,287209,95322,0
BR,Sitamarhi,0,0,0,0,3873,5476,0,1,0,0,0,0,0,1,0,0,0,0,43474,60677,0,0,0,0,1/31/2021,0,0,3419622,9185,127,9058,453227,1511464,424182,1
BR,Siwan,0,0,0,0,1163,4030,0,0,0,0,0,0,0,0,0,0,0,0,18385,69069,0,0,0,0,1/31/2021,0,0,3318176,15195,170,15025,536438,1670590,684755,0
BR,Supaul,0,0,0,0,3029,5131,0,1,0,0,0,0,0,1,0,0,0,0,35486,71754,0,0,0,0,1/31/2021,0,0,2228397,17222,129,17093,456511,1069993,369925,1
BR,Vaishali,0,0,0,0,1522,2621,0,0,0,0,0,0,0,0,1,0,0,0,45426,59038,1,0,0,0,1/31/2021,0,0,3495021,19827,192,19632,275884,1671469,478638,1
BR,West Champaran,0,0,0,0,7525,6316,0,0,0,0,0,0,0,0,0,0,0,0,42709,52019,0,0,0,0,1/31/2021,0,0,3935042,20890,358,20532,551778,1784016,469332,0
CH,Chandigarh,5,0,3,1403,211,1282,5,23,0,0,0,0,0,23,28,0,20,10726,3680,21641,28,0,0,0,10/31/2021,0,0,1055450,65351,820,64495,792851,926035,546981,56
CT,Bastar,2,0,2,0,82,129,2,0,0,0,0,0,0,0,24,0,2,0,10696,9616,24,0,0,0,5/23/2020,0,0,1302253,21066,188,20845,4522,443759,178775,26
CT,Balod,0,0,0,0,523,762,0,3,0,0,0,0,0,3,2,0,1,0,5983,9451,2,0,0,0,6/14/2020,0,0,826165,27278,396,26880,2749,537459,271570,5
CT,Baloda Bazar,0,0,1,0,953,605,0,1,0,0,0,0,0,1,0,0,3,0,25353,17419,0,0,0,0,6/14/2020,0,0,1305343,43085,471,42611,3816,617777,211945,1
CT,Bametara,1,0,0,0,25,25,1,1,0,0,0,0,0,1,1,0,0,0,14367,7690,1,0,0,0,6/14/2020,0,0,197035,19963,236,19726,3113,405388,132925,3
CT,Bijapur,3,0,1,0,47,56,3,6,0,0,0,0,0,6,5,0,3,0,1251,913,5,0,0,0,6/14/2020,0,0,229832,8324,55,8263,1239,103247,44245,14
CT,Bilaspur,1,0,3,0,2404,9113,1,12,0,0,0,0,0,12,17,2,8,0,18318,50320,17,0,0,0,6/14/2020,0,0,1961922,65681,1210,64448,9823,1031494,525066,30
CT,Dakshin Bastar Dantewada,1,0,0,0,143,1299,1,4,0,0,0,0,0,4,6,0,2,0,2225,5410,6,0,0,0,6/14/2020,0,0,533638,10840,25,10809,1168,158243,80855,11
CT,Dhamtari,0,0,2,0,1,18,0,2,0,0,0,0,0,2,2,0,2,0,6188,7319,2,0,0,0,6/14/2020,0,0,799199,27239,545,26690,1501,509782,224591,4
CT,Durg,4,0,6,0,468,908,4,19,0,0,0,0,0,19,26,1,18,0,17012,22719,26,0,0,0,6/14/2020,0,0,3343079,96880,1798,95028,5020,1012391,525445,49
CT,Gariaband,0,0,0,0,440,153,0,0,0,0,0,0,0,0,1,0,0,0,9982,5872,1,0,0,0,6/14/2020,0,0,597653,19701,194,19506,2096,293987,99137,1
CT,Gaurela Pendra Marwahi,1,0,0,0,257,297,1,0,0,0,0,0,0,0,1,0,0,0,4045,4587,1,0,0,0,6/14/2020,0,0,0,12011,146,11864,273,189474,79788,2
